Measurement E8M1
Title: E89-038 CLAS experiment
Spokespersons: V. Burkert, R. Minehart
Year: 1999
Q^2 range: 0.25 - 0.35
W range: 1.1 - 1.12
Epsilon is not available
Data:
Beam energy	theta_pi	phi_pi	dsigma/dOmega	Data errors
GeV	deg	deg	mcbn/sterad	mcbn/sterad
1.515	142.5	285	1.662	0.1918
1.515	142.5	315	1.458	0.2991
1.515	142.5	345	0.6366	0.1271
1.515	157.5	15	0.4713	0.1174
1.515	157.5	345	0.6343	0.1817
Measurement E8M20
Title: E89-038 CLAS experiment
Spokespersons: V. Burkert, R. Minehart
Year: 1999
Q^2 range: 0.25 - 0.35
W range: 1.48 - 1.5
Epsilon is not available
Data:
Beam energy	theta_pi	phi_pi	dsigma/dOmega	Data errors
GeV	deg	deg	mcbn/sterad	mcbn/sterad
1.515	7.5	15	12.9	1.188
1.515	7.5	45	11.51	1.279
1.515	7.5	75	10.59	1.154
1.515	7.5	105	8.932	0.8629
1.515	7.5	135	7.246	0.7171
1.515	7.5	165	7.876	0.7312
1.515	7.5	195	7.936	0.7626
1.515	7.5	225	8.944	0.8303
1.515	7.5	255	10.6	1.06
1.515	7.5	285	10.76	1.333
1.515	7.5	315	13.73	1.795
1.515	7.5	345	12.9	1.207
1.515	22.5	75	8.386	1.134
1.515	22.5	105	6.922	1.022
1.515	22.5	135	7.229	0.6047
1.515	22.5	165	4.939	0.4002
1.515	22.5	195	4.625	0.3546
1.515	22.5	225	5.706	0.5037
1.515	22.5	255	9.499	1.454
1.515	22.5	285	8.743	1.709
1.515	37.5	75	9.379	0.4025
1.515	37.5	105	11.17	0.9902
1.515	37.5	255	8.801	0.6607
1.515	37.5	285	9.946	0.4031
1.515	52.5	45	6.328	0.6412
1.515	52.5	75	9.019	0.4102
1.515	52.5	165	3.529	0.2027
1.515	52.5	195	3.389	0.2016
1.515	52.5	285	8.403	0.4055
1.515	52.5	315	5.706	0.6535
1.515	67.5	15	3.17	0.5213
1.515	67.5	45	5.852	0.3819
1.515	67.5	105	8.447	0.4414
1.515	67.5	135	5.132	0.2983
1.515	67.5	165	2.98	0.1554
1.515	67.5	195	3.216	0.168
1.515	67.5	225	6.167	0.4003
1.515	67.5	255	8.172	0.3512
1.515	67.5	315	5.69	0.3684
1.515	67.5	345	4.571	1.389
1.515	82.5	45	4.989	0.8007
1.515	82.5	75	7.174	0.4258
1.515	82.5	105	7.454	0.2776
1.515	82.5	135	5.579	0.3278
1.515	82.5	165	2.51	0.1512
1.515	82.5	195	2.67	0.1569
1.515	82.5	225	4.955	0.316
1.515	82.5	255	7.356	0.2737
1.515	82.5	285	7.54	0.4506
1.515	82.5	315	4.561	0.5454
1.515	82.5	345	3.909	1.413
1.515	97.5	15	1.894	0.2654
1.515	97.5	45	3.895	0.2141
1.515	97.5	75	5.761	0.349
1.515	97.5	105	6.004	0.2545
1.515	97.5	135	4.256	0.2846
1.515	97.5	165	2.759	0.1999
1.515	97.5	195	2.989	0.225
1.515	97.5	225	4.784	0.3392
1.515	97.5	255	6.499	0.2742
1.515	97.5	285	5.583	0.3408
1.515	97.5	315	4.153	0.2219
1.515	97.5	345	1.637	0.2172
1.515	112.5	15	1.436	0.1738
1.515	112.5	45	3.205	0.2109
1.515	112.5	75	5.501	0.371
1.515	112.5	105	5.132	0.2839
1.515	112.5	135	3.844	0.245
1.515	112.5	165	2.171	0.1676
1.515	112.5	195	2.467	0.1994
1.515	112.5	225	4.2	0.2827
1.515	112.5	255	5.503	0.2659
1.515	112.5	285	4.996	0.3587
1.515	112.5	315	3.282	0.2325
1.515	112.5	345	1.048	0.1356
1.515	127.5	15	0.9068	0.1218
1.515	127.5	45	2.44	0.2038
1.515	127.5	75	3.737	0.2677
1.515	127.5	105	3.71	0.2884
1.515	127.5	135	3.108	0.3226
1.515	127.5	165	2.345	0.4025
1.515	127.5	195	1.976	0.4067
1.515	127.5	225	3.474	0.4179
1.515	127.5	255	3.616	0.2532
1.515	127.5	285	3.741	0.2734
1.515	127.5	315	2.479	0.2194
1.515	127.5	345	1.057	0.1361
1.515	142.5	15	0.7624	0.1147
1.515	142.5	45	1.862	0.2357
1.515	142.5	75	2.801	0.2713
1.515	142.5	105	3.407	0.7007
1.515	142.5	135	2.829	0.6935
1.515	142.5	255	2.486	0.4564
1.515	142.5	285	2.691	0.2864
1.515	142.5	315	1.583	0.2289
1.515	142.5	345	0.9598	0.1391
1.515	157.5	15	1.097	0.2906
1.515	157.5	345	1.029	0.3339
Measurement E8M21
Title: E89-038 CLAS experiment
Spokespersons: V. Burkert, R. Minehart
Year: 1999
Q^2 range: 0.25 - 0.35
W range: 1.5 - 1.52
Epsilon is not available
Data:
Beam energy	theta_pi	phi_pi	dsigma/dOmega	Data errors
GeV	deg	deg	mcbn/sterad	mcbn/sterad
1.515	7.5	15	13.9	1.486
1.515	7.5	45	11.85	1.598
1.515	7.5	75	11.33	1.592
1.515	7.5	105	10.11	1.012
1.515	7.5	135	8.175	0.7737
1.515	7.5	165	8.909	0.7968
1.515	7.5	195	9.5	0.8515
1.515	7.5	225	9.765	0.9108
1.515	7.5	255	12.13	1.273
1.515	7.5	285	17.42	2.677
1.515	7.5	315	13.43	2.083
1.515	7.5	345	14.83	1.664
1.515	22.5	75	14.04	2.752
1.515	22.5	105	9.742	1.522
1.515	22.5	135	6.713	0.5556
1.515	22.5	165	5.75	0.3983
1.515	22.5	195	5.825	0.3898
1.515	22.5	225	6.905	0.5893
1.515	22.5	255	9.167	1.628
1.515	22.5	285	7.782	1.458
1.515	37.5	75	9.35	0.4056
1.515	37.5	105	7.582	0.7596
1.515	37.5	135	5.521	0.8274
1.515	37.5	225	7.155	1.135
1.515	37.5	255	8.411	0.6148
1.515	37.5	285	8.781	0.3559
1.515	52.5	45	5.862	0.8379
1.515	52.5	75	7.185	0.3761
1.515	52.5	105	8.687	1.199
1.515	52.5	165	3.254	0.2877
1.515	52.5	195	2.808	0.2551
1.515	52.5	255	7.592	0.9833
1.515	52.5	285	7.165	0.3456
1.515	52.5	315	5.725	0.7819
1.515	67.5	15	2.013	0.2756
1.515	67.5	45	4.149	0.2464
1.515	67.5	75	5.282	0.6236
1.515	67.5	105	6.934	1.168
1.515	67.5	135	4.085	0.2585
1.515	67.5	165	2.613	0.1452
1.515	67.5	195	2.465	0.1393
1.515	67.5	225	4.509	0.2822
1.515	67.5	255	6.314	0.3616
1.515	67.5	315	4.337	0.2643
1.515	67.5	345	2.408	0.3878
1.515	82.5	45	3.422	0.3638
1.515	82.5	75	5.561	0.4013
1.515	82.5	105	5.468	0.2221
1.515	82.5	135	4.058	0.2426
1.515	82.5	165	2.333	0.1407
1.515	82.5	195	2.209	0.1354
1.515	82.5	225	3.746	0.2453
1.515	82.5	255	6.332	0.2467
1.515	82.5	285	5.874	0.4446
1.515	82.5	315	3.792	0.5321
1.515	97.5	15	1.407	0.1584
1.515	97.5	45	3.184	0.1786
1.515	97.5	75	5.523	0.3346
1.515	97.5	105	5.32	0.2312
1.515	97.5	135	3.714	0.2635
1.515	97.5	165	2.478	0.2105
1.515	97.5	195	2.297	0.1731
1.515	97.5	225	4.093	0.2651
1.515	97.5	255	5.333	0.2443
1.515	97.5	285	5.308	0.3298
1.515	97.5	315	3.361	0.1964
1.515	97.5	345	1.317	0.1681
1.515	112.5	15	1.589	0.1741
1.515	112.5	45	3.094	0.2015
1.515	112.5	75	4.789	0.2863
1.515	112.5	105	4.843	0.2571
1.515	112.5	135	3.959	0.2397
1.515	112.5	165	2.183	0.1631
1.515	112.5	195	2.227	0.161
1.515	112.5	225	3.515	0.2271
1.515	112.5	255	5.354	0.2621
1.515	112.5	285	4.755	0.3245
1.515	112.5	315	2.892	0.2081
1.515	112.5	345	1.411	0.1596
1.515	127.5	15	1.213	0.1441
1.515	127.5	45	2.447	0.1984
1.515	127.5	75	3.833	0.2534
1.515	127.5	105	3.532	0.2394
1.515	127.5	135	3.069	0.2741
1.515	127.5	165	1.734	0.2681
1.515	127.5	195	2.258	0.3352
1.515	127.5	225	3.112	0.2388
1.515	127.5	255	3.747	0.2479
1.515	127.5	285	3.533	0.2386
1.515	127.5	315	2.576	0.2118
1.515	127.5	345	1.32	0.1488
1.515	142.5	15	1.191	0.1569
1.515	142.5	45	1.994	0.2047
1.515	142.5	75	2.785	0.2493
1.515	142.5	105	2.792	0.6034
1.515	142.5	255	2.794	0.7216
1.515	142.5	285	3.128	0.4251
1.515	142.5	315	2.372	0.825
1.515	142.5	345	1.284	0.186
1.515	157.5	15	1.261	0.2947
1.515	157.5	345	1.239	0.2701
Measurement E8M22
Title: E89-038 CLAS experiment
Spokespersons: V. Burkert, R. Minehart
Year: 1999
Q^2 range: 0.25 - 0.35
W range: 1.52 - 1.54
Epsilon is not available
Data:
Beam energy	theta_pi	phi_pi	dsigma/dOmega	Data errors
GeV	deg	deg	mcbn/sterad	mcbn/sterad
1.515	7.5	15	15.83	2.211
1.515	7.5	45	15.83	3.01
1.515	7.5	75	21.4	2.823
1.515	7.5	105	11.53	1.255
1.515	7.5	135	9.597	0.8163
1.515	7.5	165	12.27	0.9978
1.515	7.5	195	9.762	0.8494
1.515	7.5	225	10.49	0.9424
1.515	7.5	255	13.16	1.665
1.515	7.5	285	11.47	1.806
1.515	7.5	315	23.29	5.729
1.515	7.5	345	16.83	2.301
1.515	22.5	75	6.988	1.154
1.515	22.5	105	8.733	2.448
1.515	22.5	135	8.039	0.7381
1.515	22.5	165	5.588	0.373
1.515	22.5	195	6.647	0.4284
1.515	22.5	225	7.566	0.7068
1.515	22.5	255	11.17	2.375
1.515	22.5	285	8.248	1.617
1.515	37.5	75	7.19	0.3227
1.515	37.5	105	6.075	0.4273
1.515	37.5	135	6.519	0.8066
1.515	37.5	165	4.094	0.5295
1.515	37.5	195	5.58	0.8504
1.515	37.5	225	6.738	0.8695
1.515	37.5	255	7.293	0.4682
1.515	37.5	285	7.083	0.3069
1.515	52.5	45	2.954	0.3517
1.515	52.5	75	5.061	0.3186
1.515	52.5	285	4.932	0.2834
1.515	52.5	315	4.585	0.5975
1.515	67.5	15	2.098	0.9529
1.515	67.5	45	3.092	0.2111
1.515	67.5	75	3.531	0.4623
1.515	67.5	105	3.87	0.4631
1.515	67.5	135	2.856	0.2131
1.515	67.5	165	1.963	0.122
1.515	67.5	195	1.955	0.126
1.515	67.5	225	2.935	0.21
1.515	67.5	255	3.42	0.2726
1.515	67.5	315	2.565	0.1839
1.515	67.5	345	1.235	0.3526
1.515	82.5	15	1.301	0.578
1.515	82.5	45	2.42	0.5262
1.515	82.5	75	3.827	0.3994
1.515	82.5	105	3.463	0.1641
1.515	82.5	135	2.723	0.1868
1.515	82.5	165	1.538	0.1039
1.515	82.5	195	1.664	0.1125
1.515	82.5	225	2.452	0.1837
1.515	82.5	255	3.563	0.1619
1.515	82.5	285	3.897	0.3739
1.515	82.5	315	2.217	0.4129
1.515	82.5	345	1.143	0.5378
1.515	97.5	15	1.228	0.1623
1.515	97.5	45	2.569	0.1581
1.515	97.5	75	3.628	0.2503
1.515	97.5	105	3.743	0.1815
1.515	97.5	135	2.827	0.2069
1.515	97.5	165	1.601	0.1591
1.515	97.5	195	1.842	0.1628
1.515	97.5	225	2.762	0.2105
1.515	97.5	255	3.777	0.1861
1.515	97.5	285	3.862	0.2599
1.515	97.5	315	2.52	0.1602
1.515	97.5	345	1.131	0.1451
1.515	112.5	15	1.462	0.1931
1.515	112.5	45	3.043	0.2268
1.515	112.5	75	3.849	0.2618
1.515	112.5	105	3.928	0.2281
1.515	112.5	135	3.021	0.2122
1.515	112.5	165	1.61	0.1344
1.515	112.5	195	1.596	0.1294
1.515	112.5	225	2.712	0.1818
1.515	112.5	255	4.051	0.2134
1.515	112.5	285	3.551	0.2602
1.515	112.5	315	2.403	0.1864
1.515	112.5	345	1.677	0.1924
1.515	127.5	15	1.626	0.1676
1.515	127.5	45	2.678	0.2484
1.515	127.5	75	3.125	0.219
1.515	127.5	105	3.281	0.2871
1.515	127.5	135	2.523	0.2417
1.515	127.5	165	1.803	0.6152
1.515	127.5	195	2.121	0.3936
1.515	127.5	225	2.866	0.4424
1.515	127.5	255	3.238	0.241
1.515	127.5	285	3.493	0.2794
1.515	127.5	315	2.456	0.2639
1.515	127.5	345	1.534	0.1755
1.515	142.5	15	1.582	0.1965
1.515	142.5	45	2.262	0.2474
1.515	142.5	75	2.725	0.253
1.515	142.5	105	2.756	0.7525
1.515	142.5	135	2.342	0.4329
1.515	142.5	255	3.277	0.8339
1.515	142.5	285	2.929	0.2774
1.515	142.5	315	2.027	0.3165
1.515	142.5	345	1.261	0.1408
1.515	157.5	15	1.965	0.5154
1.515	157.5	345	0.8838	0.1951
Measurement E8M23
Title: E89-038 CLAS experiment
Spokespersons: V. Burkert, R. Minehart
Year: 1999
Q^2 range: 0.25 - 0.35
W range: 1.54 - 1.56
Epsilon is not available
Data:
Beam energy	theta_pi	phi_pi	dsigma/dOmega	Data errors
GeV	deg	deg	mcbn/sterad	mcbn/sterad
1.515	7.5	15	16.8	5.237
1.515	7.5	45	18.38	4.043
1.515	7.5	75	17.28	3.267
1.515	7.5	105	11.09	1.522
1.515	7.5	135	10.24	0.8581
1.515	7.5	165	8.973	0.7361
1.515	7.5	195	9.482	0.7653
1.515	7.5	225	14.44	1.42
1.515	7.5	255	15.09	1.909
1.515	7.5	285	17.46	4.382
1.515	7.5	315	18.39	5.229
1.515	7.5	345	18.84	8.088
1.515	22.5	75	9.054	1.988
1.515	22.5	105	10.63	2.118
1.515	22.5	135	6.276	0.5664
1.515	22.5	165	5.86	0.3967
1.515	22.5	195	6.168	0.4029
1.515	22.5	225	6.813	0.7466
1.515	22.5	255	10.3	1.569
1.515	22.5	285	9	1.599
1.515	37.5	75	6.425	0.3066
1.515	37.5	105	5.994	0.4342
1.515	37.5	135	5.563	0.8538
1.515	37.5	165	4.126	0.3648
1.515	37.5	195	3.259	0.3403
1.515	37.5	225	4.666	0.5518
1.515	37.5	255	6.086	0.3796
1.515	37.5	285	5.863	0.2764
1.515	52.5	45	2.94	0.3263
1.515	52.5	75	3.999	0.2957
1.515	52.5	105	3.947	0.3812
1.515	52.5	255	3.939	0.8409
1.515	52.5	285	3.988	0.244
1.515	52.5	315	2.586	0.3609
1.515	67.5	15	0.9769	0.1958
1.515	67.5	45	1.701	0.1283
1.515	67.5	135	1.955	0.1647
1.515	67.5	165	1.408	0.1009
1.515	67.5	195	1.405	0.09515
1.515	67.5	225	1.992	0.1561
1.515	67.5	255	3.324	0.8857
1.515	67.5	285	2.978	0.5427
1.515	67.5	315	1.812	0.1481
1.515	67.5	345	0.8059	0.2714
1.515	82.5	45	1.206	0.2712
1.515	82.5	75	1.796	0.2945
1.515	82.5	105	1.941	0.1104
1.515	82.5	135	1.626	0.1387
1.515	82.5	165	0.9077	0.07177
1.515	82.5	195	1.081	0.08062
1.515	82.5	225	1.466	0.1254
1.515	82.5	255	2.3	0.1302
1.515	82.5	285	1.892	0.2219
1.515	82.5	315	1.722	0.3502
1.515	97.5	15	1.028	0.1566
1.515	97.5	45	1.599	0.1178
1.515	97.5	75	2.226	0.1814
1.515	97.5	105	2.348	0.1359
1.515	97.5	135	1.627	0.1422
1.515	97.5	165	0.9323	0.09131
1.515	97.5	195	1.161	0.1219
1.515	97.5	225	1.602	0.1386
1.515	97.5	255	2.179	0.1312
1.515	97.5	285	2.041	0.1761
1.515	97.5	315	1.582	0.119
1.515	97.5	345	1.219	0.1704
1.515	112.5	15	1.228	0.1492
1.515	112.5	45	1.897	0.168
1.515	112.5	75	2.714	0.2179
1.515	112.5	105	2.886	0.1797
1.515	112.5	135	1.902	0.1484
1.515	112.5	165	1.169	0.1152
1.515	112.5	195	1.271	0.1092
1.515	112.5	225	1.769	0.1417
1.515	112.5	255	2.47	0.1521
1.515	112.5	285	3.068	0.2354
1.515	112.5	315	1.839	0.1732
1.515	112.5	345	1.186	0.1227
1.515	127.5	15	1.549	0.1602
1.515	127.5	45	1.996	0.1812
1.515	127.5	75	2.4	0.1893
1.515	127.5	105	2.378	0.1867
1.515	127.5	135	2.045	0.1902
1.515	127.5	165	1.223	0.1539
1.515	127.5	195	1.187	0.1478
1.515	127.5	225	2.209	0.3611
1.515	127.5	255	2.308	0.1788
1.515	127.5	285	2.574	0.2241
1.515	127.5	315	1.74	0.1655
1.515	127.5	345	1.284	0.1511
1.515	142.5	15	1.194	0.148
1.515	142.5	45	1.729	0.2678
1.515	142.5	75	1.85	0.1833
1.515	142.5	105	2.038	0.4269
1.515	142.5	135	1.607	0.2676
1.515	142.5	225	1.397	0.3025
1.515	142.5	255	2.287	0.4545
1.515	142.5	285	2.425	0.2774
1.515	142.5	315	1.714	0.2423
1.515	142.5	345	1.654	0.2023
1.515	157.5	15	1.717	0.3813
1.515	157.5	345	2.148	1.021
Measurement E8M24
Title: E89-038 CLAS experiment
Spokespersons: V. Burkert, R. Minehart
Year: 1999
Q^2 range: 0.25 - 0.35
W range: 1.56 - 1.58
Epsilon is not available
Data:
Beam energy	theta_pi	phi_pi	dsigma/dOmega	Data errors
GeV	deg	deg	mcbn/sterad	mcbn/sterad
1.515	7.5	45	11.5	5.042
1.515	7.5	75	25.96	17.9
1.515	7.5	105	8.932	1.447
1.515	7.5	135	17.55	2.121
1.515	7.5	165	10.31	1.035
1.515	7.5	195	10.49	1.107
1.515	7.5	225	9.366	1.228
1.515	7.5	255	12.41	2.434
1.515	7.5	285	14.5	4.403
1.515	7.5	315	16.99	8.647
1.515	22.5	75	9.184	1.79
1.515	22.5	105	9.097	3.148
1.515	22.5	135	7.019	0.8672
1.515	22.5	165	5.957	0.4792
1.515	22.5	195	4.861	0.3981
1.515	22.5	225	7.882	1.209
1.515	22.5	255	5.904	1.573
1.515	22.5	285	9.138	2.947
1.515	37.5	75	5.258	0.3186
1.515	37.5	105	5.459	0.4638
1.515	37.5	135	4.95	0.7423
1.515	37.5	165	2.802	0.2763
1.515	37.5	195	3.274	0.3321
1.515	37.5	225	5.531	0.8317
1.515	37.5	255	5.341	0.4034
1.515	37.5	285	4.901	0.3007
1.515	52.5	45	3.309	0.5105
1.515	52.5	75	3.532	0.3366
1.515	52.5	105	3.753	0.3322
1.515	52.5	255	3.418	0.4174
1.515	52.5	285	3.835	0.3718
1.515	52.5	315	1.846	0.2881
1.515	67.5	15	1.555	0.7366
1.515	67.5	45	1.276	0.1315
1.515	67.5	135	1.535	0.2045
1.515	67.5	165	1.52	0.1535
1.515	67.5	195	1.252	0.1149
1.515	67.5	225	1.587	0.1795
1.515	67.5	285	2.554	0.7083
1.515	67.5	315	1.305	0.1429
1.515	67.5	345	0.5634	0.3
1.515	82.5	45	1.27	0.5059
1.515	82.5	75	2.215	0.8115
1.515	82.5	105	1.041	0.09182
1.515	82.5	135	0.8912	0.112
1.515	82.5	165	0.9129	0.1095
1.515	82.5	195	0.9154	0.09964
1.515	82.5	225	1.093	0.1394
1.515	82.5	255	1.325	0.1072
1.515	82.5	285	1.273	0.2137
1.515	82.5	315	0.7838	0.2175
1.515	97.5	15	0.7093	0.3663
1.515	97.5	45	0.9346	0.09708
1.515	97.5	75	1.515	0.1748
1.515	97.5	105	1.333	0.1153
1.515	97.5	135	0.8559	0.09532
1.515	97.5	165	0.7974	0.1209
1.515	97.5	195	0.9987	0.1382
1.515	97.5	225	1.04	0.1264
1.515	97.5	255	1.273	0.1167
1.515	97.5	285	1.386	0.1692
1.515	97.5	315	1.173	0.1461
1.515	97.5	345	0.774	0.1561
1.515	112.5	15	0.9716	0.1595
1.515	112.5	45	1.871	0.2131
1.515	112.5	75	1.884	0.1763
1.515	112.5	105	1.905	0.1735
1.515	112.5	135	1.221	0.1243
1.515	112.5	165	1.026	0.1209
1.515	112.5	195	0.9625	0.1671
1.515	112.5	225	1.301	0.1368
1.515	112.5	255	2.114	0.1731
1.515	112.5	285	1.86	0.2082
1.515	112.5	315	2.017	0.2768
1.515	112.5	345	1.208	0.1776
1.515	127.5	15	1.54	0.2078
1.515	127.5	45	1.581	0.1794
1.515	127.5	75	1.737	0.1705
1.515	127.5	105	1.997	0.2015
1.515	127.5	135	1.307	0.1713
1.515	127.5	165	1.139	0.2039
1.515	127.5	195	1.052	0.2159
1.515	127.5	225	1.228	0.1428
1.515	127.5	255	1.879	0.2328
1.515	127.5	285	1.781	0.1869
1.515	127.5	315	1.567	0.1894
1.515	127.5	345	1.367	0.174
1.515	142.5	15	2.878	1.399
1.515	142.5	45	1.278	0.3089
1.515	142.5	75	1.814	0.2489
1.515	142.5	105	1.679	0.5181
1.515	142.5	225	0.9101	0.2877
1.515	142.5	285	1.887	0.3065
1.515	142.5	315	2.362	0.6314
1.515	142.5	345	1.404	0.2011
1.515	157.5	15	1.949	0.6364
1.515	157.5	345	1.116	0.3474
Measurement E8M25
Title: E89-038 CLAS experiment
Spokespersons: V. Burkert, R. Minehart
Year: 1999
Q^2 range: 0.35 - 0.45
W range: 1.1 - 1.12
Epsilon is not available
Data:
Beam energy	theta_pi	phi_pi	dsigma/dOmega	Data errors
GeV	deg	deg	mcbn/sterad	mcbn/sterad
1.515	7.5	15	6.737	2.901
1.515	7.5	75	2.428	0.7772
1.515	7.5	105	3.248	1.111
1.515	7.5	165	4.067	1.35
1.515	7.5	195	5.674	2.149
1.515	7.5	225	4.188	1.386
1.515	7.5	285	1.318	0.5298
1.515	7.5	315	2.146	0.5994
1.515	22.5	15	2.615	0.5407
1.515	22.5	45	2.775	0.464
1.515	22.5	75	4.021	0.6688
1.515	22.5	105	3.42	0.5506
1.515	22.5	135	3.235	0.6448
1.515	22.5	165	3.868	0.6154
1.515	22.5	195	4.346	0.6726
1.515	22.5	225	3.645	0.6665
1.515	22.5	255	3.439	0.6677
1.515	22.5	285	4.425	0.9083
1.515	22.5	315	3.822	0.8041
1.515	22.5	345	3.019	0.5381
1.515	37.5	15	1.83	0.3968
1.515	37.5	45	3.636	0.8542
1.515	37.5	75	4.076	0.8544
1.515	37.5	105	3.055	0.4592
1.515	37.5	135	5.416	0.7167
1.515	37.5	165	4.53	0.6103
1.515	37.5	195	4.236	0.5321
1.515	37.5	225	4.271	0.6265
1.515	37.5	255	3.385	0.5203
1.515	37.5	285	5.037	1.464
1.515	37.5	315	2.201	0.5248
1.515	37.5	345	2.309	0.6521
1.515	52.5	15	2.323	1.133
1.515	52.5	45	1.407	0.5613
1.515	52.5	75	2.835	0.8976
1.515	52.5	105	4.952	0.9477
1.515	52.5	135	5.255	0.7297
1.515	52.5	165	4.686	0.6013
1.515	52.5	195	4.944	0.6245
1.515	52.5	225	4.042	0.5681
1.515	52.5	255	3.808	1.044
1.515	52.5	285	3.736	1.323
1.515	52.5	345	2.832	1.531
1.515	67.5	45	1.518	0.3014
1.515	67.5	75	2.789	0.3882
1.515	67.5	105	4.479	1.014
1.515	67.5	135	4.057	0.6807
1.515	67.5	165	3.601	0.3647
1.515	67.5	195	3.851	0.3431
1.515	67.5	225	4.798	0.7796
1.515	67.5	255	5.285	1.212
1.515	67.5	285	3.043	0.5148
1.515	67.5	315	2.911	0.9475
1.515	82.5	45	2.435	0.3889
1.515	82.5	75	3.542	0.4363
1.515	82.5	105	4.141	0.6046
1.515	82.5	135	4.234	0.6386
1.515	82.5	165	3.964	0.3647
1.515	82.5	195	3.413	0.3381
1.515	82.5	225	3.712	0.5762
1.515	82.5	255	4.223	0.5747
1.515	82.5	285	3.173	0.3998
1.515	82.5	315	2.215	0.3687
1.515	97.5	45	2.444	0.5393
1.515	97.5	75	3.536	0.5819
1.515	97.5	105	4.052	0.5293
1.515	97.5	135	4.949	0.9472
1.515	97.5	165	3.449	0.4131
1.515	97.5	195	3.581	0.4896
1.515	97.5	225	3.103	0.6881
1.515	97.5	255	4.173	0.43
1.515	97.5	285	3.184	0.4579
1.515	97.5	315	1.984	0.4494
1.515	112.5	75	4.326	0.8565
1.515	112.5	105	3.672	0.4434
1.515	112.5	135	2.767	0.6666
1.515	112.5	165	3.642	0.553
1.515	112.5	195	4.433	0.797
1.515	112.5	225	4.877	1.456
1.515	112.5	255	3.601	0.4748
1.515	112.5	285	3.395	0.4597
1.515	112.5	315	1.994	0.9471
1.515	127.5	75	3.832	1.245
1.515	127.5	105	7.902	3.232
1.515	127.5	195	3.974	1.566
1.515	127.5	255	3.877	0.7099
1.515	127.5	285	3.43	1.051
Measurement E8M26
Title: E89-038 CLAS experiment
Spokespersons: V. Burkert, R. Minehart
Year: 1999
Q^2 range: 0.35 - 0.45
W range: 1.12 - 1.14
Epsilon is not available
Data:
Beam energy	theta_pi	phi_pi	dsigma/dOmega	Data errors
GeV	deg	deg	mcbn/sterad	mcbn/sterad
1.515	7.5	15	5.791	1.925
1.515	7.5	45	4.448	1.376
1.515	7.5	75	32.36	11.23
1.515	7.5	105	9.084	2.266
1.515	7.5	135	5.24	1.337
1.515	7.5	165	4.998	1.218
1.515	7.5	195	4.919	1.017
1.515	7.5	225	7.935	2.813
1.515	7.5	255	4.511	1.002
1.515	7.5	285	4.912	1.918
1.515	7.5	315	5.214	1.273
1.515	7.5	345	3.761	1.112
1.515	22.5	15	2.237	0.3932
1.515	22.5	45	4.308	0.7464
1.515	22.5	75	3.623	0.5502
1.515	22.5	105	3.858	0.4793
1.515	22.5	135	5.289	0.5623
1.515	22.5	165	4.344	0.5036
1.515	22.5	195	5.593	0.6296
1.515	22.5	225	6.357	0.672
1.515	22.5	255	4.673	0.5611
1.515	22.5	285	3.787	0.5703
1.515	22.5	315	4.159	0.7165
1.515	22.5	345	2.743	0.5312
1.515	37.5	15	3.188	1.148
1.515	37.5	45	3.592	1.051
1.515	37.5	75	4.192	0.6398
1.515	37.5	105	5.107	0.611
1.515	37.5	135	5.833	0.54
1.515	37.5	165	6.66	0.6111
1.515	37.5	195	5.714	0.4991
1.515	37.5	225	5.285	0.4978
1.515	37.5	255	4.552	0.5778
1.515	37.5	285	3.927	0.7383
1.515	37.5	315	4.681	1.387
1.515	37.5	345	2.356	0.4394
1.515	52.5	15	2.008	1.055
1.515	52.5	45	2.884	0.8624
1.515	52.5	75	5.239	1.081
1.515	52.5	105	6.112	0.8274
1.515	52.5	135	5.85	0.6028
1.515	52.5	165	5.525	0.4959
1.515	52.5	195	5.227	0.4629
1.515	52.5	225	5.282	0.5494
1.515	52.5	255	5.241	0.7935
1.515	52.5	285	5.016	0.7873
1.515	52.5	315	4.561	1.729
1.515	52.5	345	1.794	0.5936
1.515	67.5	45	2.985	0.356
1.515	67.5	75	4.893	0.4286
1.515	67.5	105	6.744	0.755
1.515	67.5	135	5.168	0.6912
1.515	67.5	165	5.097	0.3799
1.515	67.5	195	4.861	0.3737
1.515	67.5	225	5.297	0.6891
1.515	67.5	255	5.635	0.6117
1.515	67.5	285	4.883	0.4055
1.515	67.5	315	3.19	0.361
1.515	82.5	45	3.334	0.3634
1.515	82.5	75	5.314	0.4126
1.515	82.5	105	6.361	0.5532
1.515	82.5	135	6.162	0.6454
1.515	82.5	165	4.744	0.3576
1.515	82.5	195	5.208	0.37
1.515	82.5	225	5.837	0.6895
1.515	82.5	255	5.409	0.4452
1.515	82.5	285	5.686	0.416
1.515	82.5	315	2.94	0.302
1.515	97.5	45	4.373	1.018
1.515	97.5	75	5.409	0.4779
1.515	97.5	105	6.517	0.4739
1.515	97.5	135	6.406	0.746
1.515	97.5	165	4.006	0.3778
1.515	97.5	195	4.305	0.3735
1.515	97.5	225	4.939	0.6595
1.515	97.5	255	6.175	0.4404
1.515	97.5	285	5.206	0.4448
1.515	97.5	315	2.489	0.4376
1.515	112.5	45	2.552	0.4952
1.515	112.5	75	6.76	0.9675
1.515	112.5	105	5.834	0.4494
1.515	112.5	135	5.565	0.732
1.515	112.5	165	5.249	0.669
1.515	112.5	195	4.767	0.5075
