Measurement E8M1
Title: E89-038 CLAS experiment
Spokespersons: V. Burkert, R. Minehart
Year: 1999
Q^2 range: 0.25 - 0.35
W range: 1.1 - 1.12
Epsilon is not available
Data:
Beam energy	theta_pi	phi_pi	dsigma/dOmega	Data errors
GeV	deg	deg	mcbn/sterad	mcbn/sterad
1.515	97.5	285	6.534	0.5127
1.515	97.5	315	4.382	1.377
1.515	112.5	45	3.29	0.6064
1.515	112.5	75	9.072	1.741
1.515	112.5	105	8.858	0.6753
1.515	112.5	135	5.402	0.7103
1.515	112.5	165	7.458	0.8388
1.515	112.5	195	6.7	1.429
1.515	112.5	225	8.468	3.12
1.515	112.5	255	8.091	0.5552
1.515	112.5	285	8.106	1.664
1.515	112.5	315	5.657	1.266
1.515	127.5	45	7.207	1.016
1.515	127.5	75	7.954	1.643
1.515	127.5	105	10.64	1.445
1.515	127.5	255	8.813	1.001
1.515	127.5	315	7.149	1.146
1.515	142.5	45	4.184	0.9885
1.515	142.5	75	8.916	2.823
1.515	142.5	315	8.568	2.792
Measurement E8M3
Title: E89-038 CLAS experiment
Spokespersons: V. Burkert, R. Minehart
Year: 1999
Q^2 range: 0.25 - 0.35
W range: 1.14 - 1.16
Epsilon is not available
Data:
Beam energy	theta_pi	phi_pi	dsigma/dOmega	Data errors
GeV	deg	deg	mcbn/sterad	mcbn/sterad
1.515	7.5	15	4.112	0.9327
1.515	7.5	45	6.798	1.43
1.515	7.5	75	9.384	1.632
1.515	7.5	105	9.974	1.457
1.515	7.5	135	7.244	1.194
1.515	7.5	165	7.413	1.092
1.515	7.5	195	11.25	1.67
1.515	7.5	225	12.84	2.807
1.515	7.5	255	6.048	0.9879
1.515	7.5	285	7.484	1.259
1.515	7.5	315	7.576	1.359
1.515	7.5	345	9.094	1.983
1.515	22.5	15	4.2	0.6164
1.515	22.5	45	4.806	0.5597
1.515	22.5	75	6.808	0.6961
1.515	22.5	105	6.531	0.6116
1.515	22.5	135	9.056	0.7452
1.515	22.5	165	9.206	0.7681
1.515	22.5	195	8.144	0.6801
1.515	22.5	225	7.026	0.6057
1.515	22.5	255	8.554	0.7308
1.515	22.5	285	6.064	0.7126
1.515	22.5	315	4.295	0.5401
1.515	22.5	345	5.234	0.6728
1.515	37.5	15	2.675	0.7228
1.515	37.5	45	6.646	1.998
1.515	37.5	75	9.373	2.43
1.515	37.5	105	10.39	1.787
1.515	37.5	135	9.103	0.6215
1.515	37.5	165	7.415	0.5332
1.515	37.5	195	7.909	0.5687
1.515	37.5	225	9.721	0.6867
1.515	37.5	255	8.92	1.794
1.515	37.5	285	6.312	2.592
1.515	37.5	315	5.132	2.594
1.515	37.5	345	1.884	0.3626
1.515	52.5	45	2.813	0.3613
1.515	52.5	75	6.713	0.5351
1.515	52.5	105	9.131	1.637
1.515	52.5	135	10.11	0.9464
1.515	52.5	165	8.306	0.5819
1.515	52.5	195	9.737	0.645
1.515	52.5	225	10.6	1.246
1.515	52.5	255	10	2.114
1.515	52.5	285	6.471	0.6358
1.515	52.5	315	4.466	0.7014
1.515	67.5	45	4.444	0.4028
1.515	67.5	75	8.068	0.476
1.515	67.5	105	11.11	0.8458
1.515	67.5	135	10.24	1.643
1.515	67.5	165	9.031	0.4663
1.515	67.5	195	9.399	0.4786
1.515	67.5	225	9.938	1.29
1.515	67.5	255	10.28	0.6792
1.515	67.5	285	8.717	0.4801
1.515	67.5	315	5.229	0.3826
1.515	82.5	45	6.142	0.8701
1.515	82.5	75	9.328	0.5365
1.515	82.5	105	11.57	0.6193
1.515	82.5	135	9.582	0.8861
1.515	82.5	165	8.56	0.4965
1.515	82.5	195	7.994	0.4914
1.515	82.5	225	9.656	1.098
1.515	82.5	255	10.71	0.5333
1.515	82.5	285	9.9	0.5205
1.515	82.5	315	5.342	0.7639
1.515	97.5	45	5.452	1.023
1.515	97.5	75	8.715	0.6103
1.515	97.5	105	11.07	0.5487
1.515	97.5	135	10.4	1.956
1.515	97.5	165	6.106	0.4279
1.515	97.5	195	7.366	0.5106
1.515	97.5	225	9.607	1.036
1.515	97.5	255	10.71	0.5099
1.515	97.5	285	10.2	0.59
1.515	97.5	315	6.717	1.523
1.515	112.5	15	4.116	1.435
1.515	112.5	45	6.707	0.599
1.515	112.5	75	9.028	1.053
1.515	112.5	105	10.71	0.606
1.515	112.5	165	7.596	1.62
1.515	112.5	195	6.198	0.6325
1.515	112.5	225	7.947	0.6488
1.515	112.5	255	10.54	0.5459
1.515	112.5	285	9.42	1.194
1.515	112.5	315	7.333	0.8014
1.515	127.5	15	3.952	0.8273
1.515	127.5	45	7.965	0.7655
1.515	127.5	75	11.53	2.244
1.515	127.5	105	9.566	0.8943
1.515	127.5	135	10.55	1.839
1.515	127.5	225	8.477	1.021
1.515	127.5	255	12.88	1.163
1.515	127.5	285	8.695	1.032
1.515	127.5	315	7.974	0.7073
1.515	127.5	345	2.985	0.6661
1.515	142.5	15	7.099	2.229
1.515	142.5	45	9.892	1.513
1.515	142.5	75	11.77	2.109
1.515	142.5	285	13.31	2.183
1.515	142.5	315	11.17	1.897
1.515	157.5	15	5.1	1.793
Measurement E8M4
Title: E89-038 CLAS experiment
Spokespersons: V. Burkert, R. Minehart
Year: 1999
Q^2 range: 0.25 - 0.35
W range: 1.16 - 1.18
Epsilon is not available
Data:
Beam energy	theta_pi	phi_pi	dsigma/dOmega	Data errors
GeV	deg	deg	mcbn/sterad	mcbn/sterad
1.515	7.5	15	5.378	0.8591
1.515	7.5	45	10.13	2.003
