1,2943.23
2,1349.38
3,970.279
4,722.468
5,609.91
6,500.413
7,430.796
8,391.206
9,371.408
10,365.297
11,298.361
12,273.585
13,255.812
14,242.289
15,236.59
16,226.901
17,219.226
18,210.961
19,205.961
20,200.39
21,198.086
22,194.663
23,185.275
24,183.742
25,181.385
26,179.38
27,176.635
28,179.994
29,177.738
30,177.174
31,171.796
32,179.341
33,179.172
34,176.517
35,176.176
36,177.328
37,178.426
38,174.141
39,173.255
40,174.374
41,175.936
42,175.582
43,177.998
44,177.758
45,178.708
46,184.336
47,184.867
48,191.138
1,3320.73
2,1681.93
3,1118.72
4,848.521
5,680.873
6,562.498
7,484.706
8,417.532
9,371.44
10,371.889
11,310.119
12,286.785
13,265.888
14,249.758
15,240.144
16,232.501
17,222.831
18,214.006
19,211.671
20,200.693
21,193.873
22,188.348
23,190.124
24,183.69
25,182.916
26,178.037
27,178.95
28,177.925
29,177.695
30,178.727
31,178.183
32,179.121
33,179.935
34,179.818
35,179.077
36,178.908
37,179.352
38,175.247
39,177.022
40,177.293
41,179.105
42,178.97
43,178.235
44,180.217
45,178.92
46,182.488
47,184.653
48,186.776
1,3952.65
2,2035.06
3,1362.15
4,995.86
5,810.825
6,695.529
7,610.371
8,553.823
9,475.871
10,433.969
11,399.139
12,370.976
13,351.821
14,320.169
15,307.41
16,295.798
17,271.526
18,266.691
19,256.701
20,253.743
21,236.478
22,240.365
23,225.249
24,232.986
25,223.783
26,222.322
27,231.713
28,219.261
29,225.638
30,210.259
31,215.056
32,222.917
33,205.389
34,205.275
35,188.531
36,200.942
37,204.288
38,201.834
39,200.39
40,208.05
41,208.916
42,196.468
43,212.756
44,200.475
45,214.431
46,204.096
47,210.572
48,198.148
1,5556.86
2,2727.59
3,1886.5
4,1486.87
5,1266.51
6,1065.28
7,914.714
8,836.742
9,779.748
10,741.878
11,699.406
12,656.823
13,614.08
14,619.209
15,622.172
16,757.16
17,599.238
18,627.88
19,766.689
20,801.097
